iter	Passed	Remaining
0	90	8977
1	91	4504
2	93	3020
3	94	2266
4	95	1810
5	96	1505
6	96	1287
7	97	1122
8	98	995
9	99	893
10	99	808
11	100	738
12	101	678
13	102	627
14	102	582
15	103	544
16	104	509
17	108	493
18	109	465
19	109	438
20	110	414
21	110	393
22	111	374
23	112	356
24	113	340
25	114	324
26	114	309
27	115	296
28	115	283
29	116	271
30	117	260
31	118	251
32	119	241
33	119	232
34	120	224
35	121	215
36	122	207
37	122	200
38	123	193
39	124	186
40	125	179
41	125	173
42	126	167
43	126	161
44	127	155
45	128	150
46	128	145
47	129	140
48	130	135
49	131	131
50	131	126
51	132	122
52	133	118
53	133	113
54	134	109
55	134	105
56	135	102
57	136	98
58	137	95
59	138	92
60	138	88
61	139	85
62	140	82
63	140	79
64	146	78
65	147	76
66	148	73
67	149	70
68	150	67
69	150	64
70	151	61
71	152	59
72	153	56
73	153	54
74	154	51
75	155	49
76	156	46
77	157	44
78	157	41
79	158	39
80	159	37
81	160	35
82	161	33
83	162	30
84	163	28
85	163	26
86	164	24
87	165	22
88	165	20
89	166	18
90	167	16
91	167	14
92	168	12
93	169	10
94	169	8
95	170	7
96	171	5
97	171	3
98	172	1
99	172	0
