iter	Passed	Remaining
0	1	1317
1	2	1169
2	3	1088
3	15	3780
4	15	3142
5	16	2706
6	17	2446
7	17	2215
8	18	2029
9	19	1881
10	19	1777
11	20	1676
12	20	1586
13	21	1508
14	21	1443
15	22	1391
16	23	1344
17	23	1304
18	24	1270
19	25	1245
20	26	1219
21	26	1196
22	27	1180
23	28	1159
24	29	1156
25	30	1145
26	31	1143
27	32	1127
28	33	1110
29	33	1095
30	34	1080
31	35	1068
32	36	1071
33	37	1057
34	37	1042
35	38	1029
36	38	1014
37	39	1001
38	40	987
39	40	976
40	41	963
41	41	954
42	42	945
43	43	938
44	43	928
45	44	925
46	45	919
47	46	913
48	46	905
49	47	896
50	47	887
51	48	881
52	49	875
53	49	868
54	50	861
55	50	853
56	51	845
57	51	838
58	52	831
59	52	824
60	53	817
61	53	811
62	54	807
63	54	803
64	55	798
65	56	793
66	56	788
67	57	782
68	57	778
69	58	774
70	58	768
71	59	763
72	59	758
73	60	754
74	60	751
75	61	748
76	62	744
77	62	741
78	63	737
79	63	732
80	64	728
81	64	724
82	65	718
83	65	715
84	66	711
85	66	707
86	67	706
87	67	703
88	68	699
89	68	697
90	69	694
91	70	691
92	70	688
93	71	685
94	71	682
95	72	679
96	72	676
97	73	673
98	73	669
99	74	667
100	74	664
101	75	662
102	75	661
103	76	659
104	77	656
105	77	654
106	78	651
107	78	649
108	79	646
109	79	644
110	80	641
111	80	639
112	81	636
113	81	635
114	82	633
115	82	631
116	83	628
117	83	626
118	84	624
119	84	621
120	85	619
121	85	616
122	86	614
123	86	612
124	87	610
125	87	609
126	88	607
127	88	605
128	89	603
129	89	601
130	90	599
131	90	597
132	91	596
133	91	594
134	92	592
135	92	590
136	93	588
137	94	588
138	94	586
139	95	585
140	95	583
141	96	580
142	96	579
143	97	577
144	97	575
145	98	574
146	98	572
147	99	570
148	99	569
149	100	568
150	101	568
151	101	567
152	102	567
153	103	566
154	103	564
155	104	563
156	104	561
157	105	560
158	105	559
159	106	557
160	106	555
161	107	554
162	107	553
163	108	552
164	108	550
165	109	549
166	109	547
167	110	546
168	110	545
169	111	543
170	111	542
171	112	541
172	113	540
173	113	539
174	114	538
175	114	536
176	115	535
177	115	534
178	116	533
179	116	532
180	117	531
181	117	530
182	118	529
183	119	528
184	119	527
185	120	527
186	121	526
187	121	525
188	122	524
189	122	522
190	123	521
191	123	520
192	124	519
193	124	517
194	125	517
195	126	517
196	126	516
197	127	515
198	127	514
199	128	513
200	128	512
201	129	511
202	129	510
203	130	509
204	130	508
205	131	507
206	132	506
207	132	505
208	133	505
209	134	504
210	134	503
211	135	502
212	135	501
213	136	500
214	136	499
215	137	498
216	137	497
217	138	496
218	139	495
219	139	494
220	140	493
221	140	492
222	141	491
223	141	490
224	142	489
225	142	488
226	143	487
227	143	486
228	144	486
229	145	486
230	146	486
231	146	485
232	147	484
233	147	483
234	148	482
235	148	481
236	149	480
237	149	479
238	150	478
239	151	478
240	151	477
241	152	477
242	152	476
243	153	475
244	154	474
245	154	473
246	155	472
247	155	471
248	156	470
249	156	469
250	157	469
251	157	468
252	158	467
253	158	466
254	159	465
255	159	464
256	160	463
257	160	463
258	161	461
259	161	461
260	162	460
261	163	459
262	163	458
263	164	458
264	165	457
265	165	456
266	166	455
267	166	454
268	167	453
269	167	452
270	168	451
271	168	451
272	169	450
273	169	449
274	170	448
275	170	448
276	171	447
277	171	446
278	172	446
279	173	445
280	173	444
281	174	443
282	174	442
283	175	442
284	176	442
285	176	441
286	177	441
287	178	440
